# started on Mon Mar 16 18:27:06 2020

61641572172,,instructions,13631667573,63.71,,
6732729618,,branches,13557784673,63.37,,
101635030,,branch-misses,13355381801,62.42,1.51,of all branches
244004,,page-faults,21051249705,100.00,,
440433802,,L1-icache-load-misses,13289385946,62.11,,
39791676,,LLC-load-misses,13121898756,61.33,,
62093551,,LLC-store-misses,10603881810,49.56,,
7228288,,iTLB-load-misses,10723498681,50.12,,
15408985,,dTLB-load-misses,10931287881,51.09,,
# started on Mon Mar 16 18:27:16 2020

59559051019,,instructions,13277185480,62.86,,
6238627699,,branches,13239543367,62.68,,
100367958,,branch-misses,13340114785,63.16,1.61,of all branches
236196,,page-faults,20776352658,100.00,,
435853564,,L1-icache-load-misses,13424124239,63.56,,
40159124,,LLC-load-misses,13241311285,62.69,,
62886028,,LLC-store-misses,10379184744,49.14,,
7014870,,iTLB-load-misses,10346420089,48.99,,
15817739,,dTLB-load-misses,10515493955,49.79,,
# started on Mon Mar 16 18:27:26 2020

61190367491,,instructions,13491204086,62.93,,
6682604155,,branches,13505637330,63.00,,
100436959,,branch-misses,13449142210,62.73,1.50,of all branches
248483,,page-faults,21095846195,100.00,,
441569372,,L1-icache-load-misses,13359738017,62.32,,
39729515,,LLC-load-misses,13253373204,61.82,,
62393071,,LLC-store-misses,10660971979,49.73,,
7501045,,iTLB-load-misses,10717911233,49.99,,
15944748,,dTLB-load-misses,10808647799,50.42,,
# started on Mon Mar 16 18:27:35 2020

60277732194,,instructions,13290275543,62.38,,
6574042246,,branches,13070512116,61.35,,
104022905,,branch-misses,13141016087,61.68,1.58,of all branches
236326,,page-faults,20960253996,100.00,,
438594179,,L1-icache-load-misses,13264603959,62.26,,
38685633,,LLC-load-misses,13403723446,62.91,,
62248392,,LLC-store-misses,10849568498,50.93,,
7031774,,iTLB-load-misses,10832518467,50.85,,
15765917,,dTLB-load-misses,10656812435,50.02,,
# started on Mon Mar 16 18:27:45 2020

60686953287,,instructions,13295375042,61.96,,
6598146121,,branches,13362251129,62.28,,
101215180,,branch-misses,13365444175,62.29,1.53,of all branches
239348,,page-faults,21107782474,100.00,,
437196983,,L1-icache-load-misses,13568744636,63.24,,
40417421,,LLC-load-misses,13558397107,63.19,,
63127906,,LLC-store-misses,10783348762,50.26,,
7204648,,iTLB-load-misses,10660067709,49.68,,
16002966,,dTLB-load-misses,10527098246,49.06,,
# started on Mon Mar 16 18:27:55 2020

60983953680,,instructions,13322422079,62.12,,
6794191773,,branches,13226193460,61.67,,
102081512,,branch-misses,13331290466,62.16,1.50,of all branches
237796,,page-faults,21099583208,100.00,,
435852606,,L1-icache-load-misses,13407979553,62.52,,
39854441,,LLC-load-misses,13344838084,62.22,,
64179104,,LLC-store-misses,10845909975,50.57,,
7448567,,iTLB-load-misses,10847644365,50.58,,
15836138,,dTLB-load-misses,10783766033,50.28,,
# started on Mon Mar 16 18:28:05 2020

61664890233,,instructions,13402045150,62.02,,
6940553020,,branches,13506056790,62.50,,
101791860,,branch-misses,13427992980,62.14,1.47,of all branches
226424,,page-faults,21259811274,100.00,,
436019589,,L1-icache-load-misses,13467371383,62.32,,
40410804,,LLC-load-misses,13434147848,62.17,,
64284433,,LLC-store-misses,10920343623,50.54,,
7840954,,iTLB-load-misses,10849532423,50.21,,
16010266,,dTLB-load-misses,10831778925,50.13,,
# started on Mon Mar 16 18:28:14 2020

60181119556,,instructions,12355850125,61.79,,
6604553108,,branches,12416736284,62.10,,
100531556,,branch-misses,12492360181,62.47,1.52,of all branches
239579,,page-faults,19688560900,100.00,,
428977944,,L1-icache-load-misses,12761167387,63.82,,
36071418,,LLC-load-misses,12724669220,63.64,,
58950048,,LLC-store-misses,9965294894,49.84,,
7386518,,iTLB-load-misses,9828882286,49.15,,
15553621,,dTLB-load-misses,9794142476,48.98,,
# started on Mon Mar 16 18:28:23 2020

60611456529,,instructions,13491379537,63.18,,
6539426422,,branches,13410966773,62.81,,
103275891,,branch-misses,13277698285,62.18,1.58,of all branches
231214,,page-faults,21005569227,100.00,,
447081522,,L1-icache-load-misses,13248457285,62.05,,
39716915,,LLC-load-misses,13373581321,62.63,,
63041173,,LLC-store-misses,10622178555,49.75,,
7426822,,iTLB-load-misses,10741652325,50.31,,
15931624,,dTLB-load-misses,10736203492,50.28,,
# started on Mon Mar 16 18:28:33 2020

61097750967,,instructions,13465756229,63.07,,
6646249003,,branches,13330702951,62.43,,
101272848,,branch-misses,13204441634,61.84,1.52,of all branches
246192,,page-faults,21008198133,100.00,,
435772836,,L1-icache-load-misses,13279573689,62.19,,
40746945,,LLC-load-misses,13247059531,62.04,,
61685088,,LLC-store-misses,10709593727,50.16,,
7048267,,iTLB-load-misses,10831713936,50.73,,
15995548,,dTLB-load-misses,10804075796,50.60,,
